anchor,positive
"The variant name ""Ashanti"" comes from British reports transcribing ""Asante"" as the British heard it pronounced, as-hanti.","Edin soronko ""Ashanti"" no fi Britania amanneɛbɔ ahorow a ɛkyerɛw ""Asante"" sɛnea Britaniafo tee sɛ wɔbɔ no, sɛ hanti."
I'm interested in learning about the research on Mobile Money systems in Ghana. Can you tell me a bit about the data collection process?,Miyɛ shika ni akɛyaa he fɛɛ he lɛ he niiamlitaomɔ he miishɛɛ yɛ Ghana. Ani obaanyɛ okɛɛ mi bɔ ni abuɔ saji anaa ahaa lɛ he sane fioo?
I heard about a police officer who died in a hotel room in Nkawkaw. Can you tell me more about what happened?,Minu polisifonyo ko ni gbo yɛ hotɛl tsu ko mli yɛ Nkawkaw lɛ he. Ani obaanyɛ okɛɛ mi nɔ ni ba lɛ he saji babaoo?
Nice to meet you.,Nice meeting you
More equipment has been bought to scan heart conditions.,Wɔatɔ nnwinnade pii a wɔde bɛhwɛ koma tebea horow.
I'm trying to understand the factors that contribute to loan delinquency in Ghana. Can you tell me more about the relationship between loan delinquency and external factors?,Miibɔ mɔdɛŋ ni manu nibii ni haa shika ni akɛwoɔ mɔ dɛŋ yɛ Ghana lɛ shishi. Ani obaanyɛ okɛɛ mi wekukpaa ni yɔɔ nyɔmɔwoo ni awoɔ kɛ nibii ni jɛɔ kponɔgbɛ lɛ ateŋ lɛ he saji babaoo?
How much per basket?,Dodow ahe wɔ kɛntɛn biara mu?
I'm trying to understand the process of risk management in construction projects. Can you explain the initial phase of risk management according to ISO thirty-one thousand?,Miibɔ mɔdɛŋ ni manu bɔ ni akwɛɔ osharai anɔ yɛ tsumaa nitsumɔi amli lɛ shishi. Ani obaanyɛ otsɔɔ klɛŋklɛŋ gbɛ ni atsɔɔ nɔ akwɛɔ osharai anɔ yɛ ISO 31000 lɛ naa?
What are the key dimensions of service quality that organizations should focus on to enhance customer satisfaction?,Mɛni ji gbɛjianɔtoi titrii ni esa akɛ gbɛjianɔtoi lɛ kɛ amɛjwɛŋmɔ ama nɔ koni amɛha mɛi ni heɔ nii lɛ atsui anyɔ amɛmli?
I'm interested in learning more about corporate governance and its impact on cost of capital. Can you tell me about a study that examined this relationship in Ghana?,Miyɛ he miishɛɛ akɛ makase nitsumɔhe nɔyeli kɛ bɔ ni enáa shika helɛtemɔ nɔ hewalɛ ehaa lɛ he nii babaoo. Ani obaanyɛ okɛɛ mi nikasemɔ ko ni pɛi wekukpaa ni yɔɔ Ghana lɛ mli?
The evicted people that were helped were grateful.,Nnipa a wɔyii wɔn firii mu a wɔboaa wɔn no ani sɔɔ mmoa no p ara.
I heard that the Ghanaian government introduced a new road and bridge toll in two thousand and ten. How much money has been collected from this toll so far?,Mi nu akɛ Ghana nɔyeli lɛ ewo gbɛjegbɛi kɛ blɔji ahe nyɔmɔ heei akpei enyɔ kɛ nyɔŋma. Shika enyiɛ abua naa kɛjɛ nyɔmɔwoo nɛɛ mli kɛbashi amrɔ nɛɛ?
I'm trying to understand the concept of PIEP in the context of discrete modeling and factor analysis. Can you explain what PIEP is and how it's used?,Miibɔ mɔdɛŋ ni manu PEEP shishinumɔ lɛ shishi kɛjɛ nɔkwɛmɔnɔ ni yɔɔ srɔtoi kɛ nibii amlipɛimɔ mli. Ani obaanyɛ otsɔɔ nɔ ni PIEP ji kɛ bɔ ni akɛtsuɔ nii ahaa lɛ mli?
Certified outlets are the only ones allowed to sell seeds.,Nneɛma a wɔtɔn aba a wɔagye atom nkutoo na wɔma ho kwan sɛ wɔtɔn aba.
People fear to wed because of the huge costs incurred.,Nkorɔfoɔ suru sɛ wɔbɛyɛ ayeforɔ ɛsiane ɛka kɛseɛ a ɛwɔ mu nti.
How much would everything cost?,How much would I pay for everything?
Do you have a price list?,Do you keep a price catalogue?
What is customer loyalty and why is it important for businesses?,"Mɛni ji anɔkwayeli ni mɛi ni heɔ nii lɛ yeɔ lɛ, ni mɛni hewɔ ehe hiaa yɛ jarayeli mli lɛ?"
"On the evening of the wake, the palace was overflowing with people.","Ɣetrɔ si wole ŋudɔdɔa wɔge la, fiasa la yɔ fuu kple amewo."
I'm interested in learning about financial and accounting instructions for schools in Ghana. Can you tell me about the procedures for handling receipts?,Miyɛ shika kɛ akɔntaabuu he gbɛtsɔɔmɔi ni kɔɔ skul ni yɔɔ Ghana lɛ he lɛ he miishɛɛ. Ani obaanyɛ okɛɛ mi gbɛjianɔtoo ni akɛtsuɔ nii yɛ invoice lɛ he lɛ he sane?
"I don't like dates, yet it is the first food recommended by the Prophet Muhammad (saw) to break the fast",dat tikutsetse medoa dzidzɔ nam o ke hã eyae nyagblɔɖila muhamad ɖo be enye nyuitɔ hena nuʋuʋu
The district has failed to ensure proper hygiene in the market and the district health officers asserted that toilets will be constructed in the market.,Ɔmansin no ntumi nhwɛɛ sɛ ahotew pa bɛba gua so na ɔmantam no akwahosan ho adwumayɛfo no sii so dua sɛ wobesi tiafi wɔ gua no so.
Which one costs less?,Te nɔ ni jara waaa tɛɛ?
How much for two?,Can I know the price for two?
Nice to meet you.,It is nice to meet you
What's the current status of the Human Sexual Rights and Family Values Bill in Ghana?,Mɛni ji shihilɛ ni yɔɔ Adesai Ahegbɛi kɛ Weku Shihilɛ He Mla lɛ mli yɛ Ghana amrɔ nɛɛ?
It's easy to understand why few civil servants want to stay in small towns.,miese egɔme nu si tae dudɔwɔla sɔgbɔ melɔ̃na duviwo me nɔnɔ o ɖo la
"Thank you to all those people who continue to inspire and encourage me,",akpe na amesiwo katã kpɔtɔ le ŋusẽ domem kple siwo nye kpɔɖeŋu nam
"At that moment, my phone began to vibrate once again in my bag.",ɣeyiɣi sia tututu nye kaƒomɔp dze ʋuʋum le kpɛtɛa me
Welcome,Welcome here
How much for one?,Ga home nenie na ame ɖeka?
Can I help you find something?,Can I help you with anything?
Bring me some water! I'm dying of thirst! I'm dying of thirst!,Miku tsi va nam. Tsikɔ le wuyem. Tsikɔ le wuyem.
"Hello, I'm interested in learning about the financial literacy of staff at KNUST. Can you tell me about the importance of maintaining adequate financial records?",Miyɛ miishɛɛ akɛ male shika he nilee ni nitsulɔi ni yɔɔ KNUST lɛ yɔɔ lɛ ahe. Ani obaanyɛ okɛɛ mi bɔ ni ehe hiaa ni akwɛ shika he saji anɔ jogbaŋŋ lɛ he sane?
I'm trying to understand the concept of Granger causality in economics. Can you explain it to me?,Miibɔ mɔdɛŋ ni manu Granger causality shishi yɛ shika helɛtemɔ mli. obaanyɛ otsɔɔ mi mli
Do you have a price list?,Can I see your price list?
Have a seat.,Take a seat
I am a trader.,I work as a trader.
A book that leads us to turn our gaze towards these women and young girls who are murdered in the name of family honor,eɖe ale si wowua nyɔnu kple ɖetugbuiwo le ƒome ƒe dzedze ta
The government has laid aside funds towards the construction of boreholes to improve on the accessibility of water in the region.,Aban no ayi sika bi ato nkyɛn a wɔde bɛtutu nsuo sɛdeɛ ɛbɛyɛ ɛbɛboa ama ɔmanfoɔ anya nsu pa wɔ mantam no mu
People are furious over water scarcity in the area.,Nkorɔfoɔ bu afu wɔ nsuo a ɛnni mpɔtam hɔ.
How much would everything cost?,What is the total amount?
How much can a swimming pool construction cost?,Sika ahe na wobetumi de asi asuguarebea?
"Why don't you go start your own family instead of spending your time eating my brother's rice and wearing out his sheets,",nukata meyi ɖa do ƒome anɔte nɔvi ƒe mɔlu ɖuɖu kple eƒe abadi vɔwo zazã
What is COCOBOD's stance on the new producer price for cocoa farmers for the next crop season?,Mɛni ji COCOBOD shidaamɔ yɛ nibii ni afeɔ lɛ jara hee kɛha kookoo okwaafoi yɛ ŋmɔshi nibii akwɛmɔ be ni baa lɛ mli?
Refugees have started practicing farming so as to earn a living and were advised to save money If they want to succeed in farming.,aguanfo afi ase reyɛ kua sɛnea ɛbɛyɛ a wobenya wɔn asetrade na wotuu wɔn fo sɛ wɔmfa sika nsie Sɛ wɔpɛ sɛ wodi yiye wɔ kuayɛ mu a.
I'm interested in learning about the Gram staining procedure. Can you walk me through the steps?,Miyɛ he miishɛɛ akɛ makase gram staining gbɛjianɔtoo lɛ he nii. Ani obaanyɛ onyiɛ mi gbɛ kɛtsɔ atswere lɛ nɔ?
Farmers now sell their crops to earn money.,Mprempren akuafo tɔn wɔn nnɔbae de nya sika.
Many Ghanaians have no access to clean water.,Ghanafo pii nnya nsu pa.
Some parents don't want to take the responsibility of paying school fees for their children.,Awofo binom mpɛ sɛ wɔfa asɛyɛde a ɛne sɛ wobetua wɔn mma sukuu ka no.
I am from Accra.,My home is Accra.
The local governments should create simple mechanisms through which people would pay tax.,Ɛsɛ sɛ aban a ɛwɔ nkuro ahodoɔ mu no yɛ nneɛma binom a ɛbɛma nkurɔfoɔ atua wɔn toɔ.
"“The proof is that the sums of money involved are generally derisory, they are rarely greater than 0,000 FCFA. """,eye mesusu be amesi xɔ nu la ye woabu ƒɔ̃ wu amesi nunala la
Good evening,Bonne soirée
I'm trying to understand the different types of distributions used in hydrology. Can you explain the gamma distribution and its application in this field?,Miibɔ mɔdɛŋ ni manu mlijaai srɔtoi ni akɛtsuɔ nii yɛ nu he nikasemɔ mli lɛ shishi. Ani obaanyɛ otsɔɔ gamma mlijaa kɛ bɔ ni akɛtsuɔ nii yɛ nɛkɛ nitsumɔ nɛɛ mli lɛ mli?
What are the key factors that affect the functioning of the land market in Ghanaian cities?,Mɛni ji nibii titrii ni saa shikpɔŋ jarayeli nitsumɔ he yɛ Ghana maji wuji amli lɛ?
What would you like to buy?,Nukae nàdi be yeaƒle?
I'm interested in learning about sanitizers for produce. What are some common sanitizers used in the food industry?,Miyɛ he miishɛɛ akɛ makase sanitizers ni akɛtsuɔ nii kɛfeɔ nii lɛ ahe nii. Mɛni ji nibii komɛi ni afɔɔ feemɔ yɛ niyenii afeemɔ nitsumɔhei lɛ?
I heard that the National Lottery Authority (NLA) donated some money to an organization that supports persons with disabilities. Can you tell me more about this?,Minu akɛ National Lottery Authority kɛ shika ko eha gbɛjianɔtoo ko ni yeɔ ebuaa mɛi ni bɛ hewalɛ lɛ. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
I'm trying to understand fuzzy logic systems. Can you explain how the fuzzy inference engine works in a fuzzy controller?,Miibɔ mɔdɛŋ ni manu shishitoo mlai ni bɛ faŋŋ lɛ ashishi. Ani obaanyɛ otsɔɔ bɔ ni fuji inversion tsɔne lɛ tsuɔ nii yɛ fuji kudɔmɔ tsɔne mli lɛ mli?
How much for one?,How much will one be?
I read that street food vendors in Ghana have been found to be selling food with high levels of heavy metals. Can you tell me more about this?,Mikane akɛ ana akɛ mɛi ni hɔ̃ɔ niyenii yɛ gbɛjegbɛ nɔ yɛ Ghana lɛ miihɔ niyenii ni dade ni tsii babaoo yɔɔ mli. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
Hello,"Hello, how are you?"
My name is: camel.,Kposɔ woyɔam.
What is the current status of Ghana's Promotion of Proper Human Sexual Rights and Ghanaian Family Values Bill?,Mɛni ji shihilɛ ni Ghana adesai abɔlɛnamɔ hegbɛi kɛ Ghana Weku Shihilɛ He Mla lɛ he nitsumɔ ni sa lɛ yɔɔ amrɔ nɛɛ?
"Right next to us, a woman is removing water from a canoe,","le miaƒe akpa dzi la, nyɔnuaɖe le kpam le tɔdziʋuaɖe me"
What motivated Bolanle to leave her family and join Baba Segi's household?,Mɛni tsirɛ Bolanle ni eshi eweku lɛ ni eyafata Baba Segi weku lɛ he?
Excuse me.,Ago nam.
Every paper money note has a unique serial number.,Krataa biara a wɔde kyerɛw sika wɔ no namba
The accountant in that district are unhappy over delayed salary payments.,Akontaabufo a wɔwɔ saa mantam no mu no ani nnye akatua a wɔakyɛ ho.
I heard that cocoa prices have increased significantly in Ghana. Can you tell me more about this?,Minu akɛ kookoo jara etee ŋwɛi waa yɛ Ghana. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
How may I help you?,Can I assist you?
I'm interested in understanding the factors that influence a customer's decision to use a bank's services in Ghana. Can you tell me more about the key factors that affect this decision?,Miyɛ he miishɛɛ akɛ manu nibii ni náa mɔ ni heɔ nii lɛ yiŋkpɛɛ akɛ ekɛ shikatoohe nitsumɔi baatsu nii yɛ Ghana lɛ nɔ hewalɛ. Ani obaanyɛ okɛɛ mi nibii titrii ni náa yiŋkpɛɛ nɛɛ nɔ hewalɛ lɛ ahe saji babaoo?
Safe travels.,Have a safe journey.
Buses and taxis were also banned from moving during the lockdown.,Wɔbaraa bɔs ne taksi nso sɛ ɛnkɔ baabiara wɔ bere a wɔatoto mu no
"I'm interested in learning about the Posuban, a structure associated with the Asafo Company in Ghana. What does the name Posuban mean?",Miyɛ he miishɛɛ akɛ male Posuban ni kɛ Asafo Company ni yɔɔ Ghana lɛ yɔɔ tsakpaa lɛ he sane. Mɛni ji wiemɔ Posuban lɛ shishi?
What is the main goal of the study on the production of sliced pineapple at a fruit processing plant in Ghana?,Mɛni ji oti titri ni yɔɔ nikasemɔ ni kɔɔ ŋmei ni afolɔ afeemɔ he yɛ tso yibii ahe nitsumɔhe ko ni yɔɔ Ghana lɛ sɛɛ?
What is MTN planning to do with its mobile money operations in Ghana?,Mɛni MTN eto gbɛjianɔ koni ekɛ e-mobile money nitsumɔ lɛ afee yɛ Ghana?
What's the cheapest one?,What is the cheapest option?
"What are the main causes of apparent losses in water distribution systems, and how do they affect customers?",Mɛni ji nibii titri ni kɛ nibii ni laajeɔ yɛ nu mlijaa gbɛjianɔtoi amli lɛ baa ni te amɛnáa mɛi ni heɔ nii lɛ anɔ hewalɛ amɛhaa tɛŋŋ?
"What is life cycle costing, and how is it applied in the construction industry?","Mɛni ji wala shihilɛ he nyɔmɔwoo, ni te akɛtsuɔ nii ahaa tɛŋŋ yɛ tsumaa nitsumɔ mli?"
How much for one?,How much do I pay for one?
Hello,Hey
Yes.,"Yes, that's right."
"Some told him that they didn't think they would ever understand some of the concepts he explained,",ameaɖewo gblɔ be yéwo mesusu be yéwoase eƒe nu aɖewo gɔme ɖeɖe gbe ɖeka o
What reforms does Dr. Opuni-Frimpong think the Ghana Commodity Exchange (GCX) needs to ensure food security in Ghana?,"Dr. Opuni-Frimpong, mɛɛ tsakemɔi osusuɔ akɛ ehe miihia ni Ghana Nibii Ajarayelihe (GCX) lɛ afee koni niyenii ahi Ghana?"
Can you tell me about the Labour minister who was named in an investigation into corruption claims in Bangladesh?,Ani obaanyɛ okɛɛ mi nitsumɔ he sɔɔlɔ ni atsɛ egbɛi yɛ niiamlitaomɔ ni kɔɔ ju kɛ fɔ̃ ni awieɔ yɛ Bangladesh lɛ he lɛ he sane?
Thanks are given to the bishop for equally considering gender in the diocese.,Yɛda ɔsɔfopɔn no ase sɛ osusuw ɔbarima ne ɔbea nna ho pɛpɛɛpɛ wɔ asɔre no mu.
Hello,Hello there.
The big pachyderm had finished gobbling up tons and tons of food and was resting in the setting rays of the sun.,Lã lolo kpemi la nuɖuɖu ƒe agba kpekpewo na eɖokui henɔ ɖiɖim ɖe eme le ɣetoɖoɖo ƒe alɔdzewo te.
Good afternoon,Afternoon! How are you?
How may I help you?,How may I assist you?
To have much yields you need to have a big piece of land.,"Nea ɛbɛyɛ na woanya nnɔbaeɛ bebree no, ɛsɛ sɛ wonya asase kɛseɛ."
What's the price of this item?,Mɛɛ sɛɛnamɔ yɔɔ nibii nɛɛ ahe?
He used some of his money to construct his home.,Ɔde ne sika no bi sii ne fie.
I've heard that local rice is preferred by many consumers in Ghana. What are some reasons behind this preference?,Minu akɛ mɛi ni yeɔ nii yɛ Ghana lɛ ateŋ mɛi babaoo sumɔɔ maŋ lɛ mli ŋmãa. Mɛni ji yiŋtoi komɛi ahewɔ ni ahala nɛkɛ?
Is this the final price?,Ðe esia nye asi mamlɛtɔa?
Most of her friends attended her wedding launch.,Ne nnamfo dodow no ara kɔɔ n’ayeforohyia a wɔde sii hɔ no ase.
"What is the Internal Market Bill, and why are former Prime Ministers Tony Blair and Sir John Major opposing it?","Mɛni ji Guɔyeli He Ko Mla lɛ, ni mɛni hewɔ tsutsu maŋsɔɔlɔi Tony Blair kɛ Sir John Major teɔ shi woɔ lɛ?"
Some youths deliberately refuse to pay back the money.,Mmabunu binom hyɛ da pow sɛ wobetua sika no.
Hi,Hello.
I'm interested in learning about the eating habits of people in Ghana. What percentage of people know about the importance of eating fruits and vegetables?,Miyɛ he miishɛɛ akɛ makase bɔ ni mɛi ni yɔɔ Ghana lɛ yeɔ nii amɛhaa lɛ he nii. Mɛi enyiɛ le bɔ ni ehe hiaa ni aye aduawai kɛ aduawai?
The people will get money after selling the construction materials to the company.,Nkorɔfoɔ no bɛnya sika sɛ wɔtɔn adansie nnoɔma no ma adwumakuo no wie a.
"“Under” our skies, the public media are in the pay of the regime in place. """,mia ŋtɔwo miekpɔe be dziɖuɖua ƒe nya nyui ko fioha nyakakadɔwɔƒewo gblɔna
What is proximate analysis in the context of food products?,Mɛni ji mlipɛimɔ ni bɛŋkɛ kpaakpa yɛ niyenii ni afee lɛ he?
Have a seat.,Please sit down
I heard that the Food and Agriculture Organisation (FAO) is pushing for higher investment in agriculture. What's the main goal of this initiative?,Mi nu akɛ Niyenii kɛ Okwaayeli He Gbɛjianɔtoo (FAO) lɛ miitswa shika babaoo yɛ okwaayeli mli. Mɛni ji oti titri ni ma nɛkɛ nifeemɔ nɛɛ hiɛ?
I've heard that water scarcity is a significant issue in Ghana. Can you tell me more about the current state of water supply in the country?,Minu akɛ nu ni faaa lɛ ji sane ko ni he hiaa waa yɛ Ghana. Ani obaanyɛ okɛɛ mi nu ni akɛhaa maŋ lɛ mli amrɔ nɛɛ he saji babaoo?
What is MTN Ghana doing to tackle mobile money fraud?,Mɛni MTN Ghana miifee koni ekɛwu eshi mobile shika he shishiumɔ?
What's the cost of all these?,What's the amount for all these?
What's your best price?,What's the lowest you'll accept?
I've been reading about different healthcare payment models. Can you explain the concept of supplier-induced demand in the context of fee-for-service (FFS) payment systems?,Mikane helatsamɔ he nyɔmɔwoo henɔi srɔtoi ahe saji. Ani obaanyɛ otsɔɔ shishinumɔ ni kɔɔ nibii ni akɛhaa lɛ ahe lɛ mli yɛ nyɔmɔwoo gbɛjianɔtoi ni akɛwoɔ nyɔmɔ kɛha nitsumɔ (FFS) lɛ mli?
